pp,Result
0.002879489338442525,0
0.0041691886715044734,0
0.0025435456688992827,0
0.0018363728693731307,0
-0.002253614582551294,0
0.00030288908159468335,0
-0.002123309869540642,0
-0.00029744844521813885,0
-0.0011020560881867744,1
-0.00391918415481508,0
-0.004746780986135819,0
-0.006172149795959459,0
-0.004902756176537057,0
-0.005481439776357391,0
-0.001097546209732427,0
-0.002954282098418472,0
-0.002778149957884124,0
-0.0002991297099602183,0
0.0007742865003455143,0
-5.654452635709005e-05,0
-0.004732581305542142,0
-0.0028580212720163323,0
-0.005923563256170986,0
-0.00422243619305452,0
-0.004705144499315671,1
-0.006939788192734016,1
-0.005153884624281201,1
-0.007212594876301255,1
-0.00821163920637902,1
-0.004224385087785177,1
-0.00034095816451341367,1
-0.002373868823318271,1
-0.0016153565553130417,1
-0.0025372636545602004,1
0.00013619251352017854,1
0.004119703551054325,0
0.005113994318180494,0
0.004078011449636806,1
0.005157828426119643,0
0.0017301323498329247,0
0.002060865858273371,0
0.004235170341569892,0
0.006215995846570315,0
0.0064021379236793245,0
0.002111563423859136,0
-0.0005899504959987351,0
-0.0041121274033521825,1
0.00034434408622771,0
-0.0041344312345532735,1
-0.003517991913683857,1
-0.004168947404067477,1
-0.002933296103724935,1
-0.005612076677296489,1
-0.004965808212101323,1
-0.004582893353034648,1
-0.003743458617713263,1
0.002145782761785467,1
-0.0025094380202716586,1
0.0009820030697617807,1
0.0013392016271606315,1
0.0031643067342086253,0
0.00022894847889228664,1
0.0031123640088833184,1
0.0031234397444769185,1
0.003932170635918197,1
0.0033465252870098073,1
0.002787719751686721,0
0.001270111281788075,1
0.0011930108354506795,1
0.0013359868882955653,0
-0.0007768002188359814,1
0.0010288753909622104,1
0.0003317452253589873,1
2.4155907555831314e-05,0
0.0013292367991275368,1
0.0032355775177322936,0
-0.0010454262027223113,1
0.002585658865090135,1
0.0022626727319910674,1
-0.0003238985693634165,1
0.0030278406149398867,1
0.002700011197445191,1
0.0038663508337737147,1
-0.0005638758460747398,1
0.0008283955461268722,1
-0.0002942736995173765,0
0.0033295305354844058,1
0.003988931974743749,0
0.003098136315070707,0
0.005467348179242412,0
0.004401188459722841,0
0.002834337968580261,0
0.0019076620365776522,0
0.005705161173146767,0
0.0016122291088531866,0
-3.93809369863181e-05,0
0.002487025278615178,0
-0.0030894943286723093,0
-0.0016026453729296659,1
-0.005507504165051402,1
-0.002133605707527719,0
-0.0015287205708249304,1
-0.001372485562867964,0
-0.0033110495383388396,0
-0.0018894126815012504,1
-0.00045606604385622516,1
-0.0038461002131579326,1
-0.0013395215221505207,1
0.0006283944760272377,1
0.0014046472658337619,1
-0.0010534167067677465,1
9.381795049521818e-05,1
-0.0017137158435261706,1
-0.0005310775200320055,1
0.00013213394234279724,1
0.0019742775733395234,1
0.002351246982200261,1
0.004377586695811474,1
0.004346741417678613,1
0.007137753738086218,1
0.005828256261451228,1
0.009033170322043437,1
0.011090418368534498,0
0.011388401865816676,0
0.01047898162734651,0
0.008485104390815533,0
0.0053360012897832884,1
0.006222578595352228,0
0.004239402507226193,0
0.0036936458546757197,0
0.005046250690884112,0
0.0004926190503350412,0
-0.0002837533388486494,0
-0.005047288928713838,1
-0.0023145882812646967,0
-0.0017604283239614435,0
0.0020845977416536687,0
-0.00013417364588283963,0
-0.0008639764893085882,0
-0.0005992254461149498,1
-0.0022064778747409365,1
-0.0019203034175875858,1
-0.0008678184622905455,1
0.0030587813263093437,1
-0.00012595187935045764,1
-0.00156392331125365,1
-0.003055509810085706,1
-0.002032402324999761,1
-0.00034773394549958815,0
0.0002104499794010672,1
0.0014566688455499137,0
0.0024880164225693224,0
0.00196937831827742,0
0.003172955535214467,0
0.0036381207757291596,0
0.0037822402680815345,0
0.004162185112861768,0
0.0009298219663117752,1
-7.305919543344916e-05,0
0.0002975988756340578,1
-0.002073536443443445,1
-0.0033867996989024743,1
-0.003646003250492015,1
-0.00383939625674525,0
-0.0030855328069690786,1
-0.002333297281547748,1
-0.0019246147845385412,1
0.0011193977068358956,1
-0.0004955471274808037,1
0.0005487364088275127,1
0.002201081963130748,1
0.0005968094814033188,1
4.542574809681188e-05,1
-0.00025723936916871164,1
0.0009163961282494804,1
0.0011797917251022143,1
0.0002474070446510822,1
0.0012271917358733706,1
0.002537910633509687,1
0.002771187862231362,1
0.002724994476599586,0
0.00558532939717664,0
0.006597691263174152,0
0.007126101843659748,0
0.00333012450189897,0
0.0037923652068366973,0
0.0015674308680421183,0
0.0019484514353838973,0
0.0030076522467202284,0
0.0004751847594238961,0
-0.001089738431287526,0
-0.001779946357289918,0
-0.004645134144007566,1
-0.006536065579854964,1
-0.005513734776361333,1
-0.003026653916232747,1
-6.85874813603219e-05,1
-0.0032864212027469,0
-0.004843425051694477,0
-0.0050715234020036765,0
-0.004447070807557996,0
-0.00369461632988718,0
0.0004545505016931265,0
0.0023286888337344224,0
0.004494595128837778,0
0.002600985211304412,0
0.0009120788428827527,0
-0.00088703951964681,0
-0.001334111898388404,0
-0.0006428824349137494,0
-0.00105459295240784,0
-0.0018498957318711829,0
-0.0025308060747418087,0
-0.0015143275938649106,0
-0.0032091716240357274,1
-0.0034849241433523846,1
-0.0014293145893341623,1
-0.0031241304076155777,1
-0.002059065425691032,1
-0.002773331282436,1
-0.00028796392249201026,1
-0.00048589551344456185,1
-0.0012886463618994406,1
-0.0018555305380819399,1
0.001968084531561038,1
0.004627740808586965,0
0.003578510763312219,1
0.008345255420547258,1
0.007649670699293747,1
0.01106545184255596,0
0.008087683210976162,1
0.007149122888161698,1
0.004594708803465459,1
0.005709023244222857,1
0.00309541694413935,0
-0.0008978551669777149,0
0.0013307387677869667,0
0.001312403742638392,0
0.0024266744259126513,0
-0.0005829543773507824,0
0.0005479262718305265,0
0.0004983388050444116,0
0.003413733776633087,0
0.001336435934307097,0
-0.0013774980647236377,1
-0.001084972151667043,1
-0.0036947162228495767,1
-0.0037441743577080917,1
-0.003588894699762913,1
-0.002872154081940984,1
-0.0018182168254889568,1
-0.000962826503647541,1
-0.002236931914092082,1
-0.0011023944530055665,1
0.0008983858073775164,1
0.0020718208762189575,1
0.002584535360467967,1
0.003996591409319402,1
0.0028479639129443163,1
0.002097220676842748,1
0.0006506678311853219,1
0.0010990082321474832,1
0.0011227467403763822,1
0.0016188949131937002,1
0.006408820364339578,0
0.005920406913502873,1
0.004985020256586694,1
0.004553732949298244,1
0.004996115432804028,1
0.002642716547260439,1
0.002974926499964693,1
0.0030297072598631345,1
0.007206989006771348,1
0.0026086303402512397,1
-0.0031724032031834877,1
7.310043121876854e-05,0
0.0007722773387634056,0
0.0006150155793089204,0
0.0005472321195794381,0
0.002928926985931763,0
0.0033314885351216567,0
0.00241587818385594,0
4.151115362582085e-05,0
0.0024371645180344473,0
0.0026152794056346763,0
-0.0007835897662187526,0
-0.002787539382745955,1
-0.00381939083426932,0
-0.0036411811490661065,1
-0.0024737459710970976,1
-0.003277554614833934,1
-0.003019753510837317,1
-0.004390881454928231,1
-0.00094808639356335,0
-0.0007427271947884849,0
-0.0031548986839128323,1
0.0014902249423833765,1
-0.0008116784087270143,1
0.0021089015048325797,1
0.0008696375310866649,1
0.00038005653651479405,1
0.0023306274799164226,1
0.0025664436016299805,1
-0.0016559527188249983,1
-0.0012615820866740824,1
0.005224342691695493,1
0.0038840939903339085,1
0.0067791043073439,1
0.005027242240421948,1
0.0033890877867141815,1
0.004448818741565962,1
0.0074433201659985125,1
0.00876480998239441,0
0.010901450025760134,0
0.00964081368256636,0
0.0037550544931630662,0
0.0028153353917809276,1
0.0031000828958466647,1
0.0028817595715461847,0
0.0046632661515429675,0
0.00469406153703775,0
0.0007390874170366953,0
-0.0028358192478832767,0
-0.004403307910518663,0
-0.0035130167710621055,0
-0.0021506392109232656,0
0.000856577027128613,0
7.858928604412225e-06,0
-0.00038928415214340675,0
-0.0005270094729585326,0
-0.0013100423108960409,0
-0.004153411774249421,0
-0.00505306935832752,0
-0.0019478873057771308,0
-0.0018055878790371681,0
-0.0006749009724438524,0
-0.004342327730599479,1
-0.004022573947295069,1
-0.0048420233857442195,1
-0.003748034228146546,1
-0.0054214517752857756,1
-0.0025921667472300243,1
-7.375851852201815e-05,1
-0.0018013355478264125,1
-0.0015670719096319398,1
-0.0024157525580156473,1
0.000960981114635764,1
0.0012722086998020637,1
0.0021535111671502007,1
0.002510980662222866,1
0.004792156972160849,0
0.00036877713562635225,1
0.002090428007005961,1
0.0019248427226890026,1
0.005587266180452252,0
0.00544999586654213,0
0.0029078087415826937,0
0.003261218505926629,0
0.0020686731974235077,0
0.0006559308824890148,1
-0.0008669059153407083,0
0.0030392813698496787,0
0.0019823537936542453,0
0.002465031955483034,0
-0.00524882958630584,1
-0.00205772989609857,0
-0.004112015420046993,0
-0.004563993557375064,0
-0.003710438654671269,0
0.0012695494558260742,0
-0.0017196452675360475,0
-0.0012086432474088687,0
-0.00223137985718198,0
-0.0019119222437949386,0
0.0003362893907667647,0
-0.0035220138529630657,0
-0.0014551543300100728,0
-0.0017918592929135608,0
-0.0020769037558178473,0
-0.006219816226226928,0
-0.0022722079840023675,0
-0.0036902224428273112,0
-0.0014982169435142508,0
-0.001600777172398403,0
-0.0006746537672437692,1
-0.0012732475759851896,1
-0.0021410076311504096,1
-0.0009661649839206438,1
-0.0007567424023140091,1
-0.00036802345341535006,1
-0.0003385345552335259,1
-0.0005575435886837354,1
-0.0014737850116277075,1
-0.0028938929084257755,1
0.001768430799196669,0
0.0028721462285728797,0
0.004172781231654405,0
0.002723782048915931,0
0.002788548965336189,0
0.0022218166332056153,0
0.002815888312633192,0
0.0034537360479209834,0
0.0036641169286727284,0
0.00029607137962728476,0
-0.00473377246319247,0
-0.0019699675490867066,0
-0.0020578924740131516,0
-0.0014875958380442136,0
-0.0017075792348896146,0
-0.002362189224195591,0
-0.0024715403897374497,0
-0.0017054588826629087,0
-0.009626984537164141,1
-0.006080396601683508,1
-0.003492243743291993,1
-0.007351725766802788,1
-0.007919823980555935,1
-0.008772387293473603,1
-0.005812121152102382,1
-0.004418681154909686,1
-0.004467105778425667,1
-0.0025367677270094714,1
0.007425471770349183,0
0.008956252545111466,0
0.007780683482047806,0
0.009689988330031547,0
0.009397687608683489,0
0.009747992503107771,1
0.007340816632974763,0
0.006397101085608675,0
0.006823215514148031,0
